               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  43,            0.022487,           0.0097624,           0.0028449,             0.55986,             0.56264,              0.5511,             0.35218,            0.021843,           0.0073262,            0.012818,           0.0048025,           0.0048025,           0.0048025
                  44,            0.022074,           0.0094418,           0.0023717,             0.59214,             0.55387,             0.56348,             0.34526,            0.020712,             0.00701,            0.012531,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021733,            0.009665,           0.0036568,             0.54343,              0.5731,             0.53386,             0.33844,            0.021624,           0.0073684,            0.012453,            0.004555,            0.004555,            0.004555
                  46,            0.021133,           0.0093619,           0.0026052,             0.69301,             0.51885,             0.59481,             0.36502,            0.021027,           0.0080075,            0.010314,           0.0044313,           0.0044313,           0.0044313
                  47,            0.021597,           0.0093661,           0.0028717,             0.66496,             0.58568,             0.63077,             0.38637,            0.021767,           0.0077584,            0.011033,           0.0043075,           0.0043075,           0.0043075
                  48,            0.020746,           0.0094677,           0.0024625,             0.61546,             0.55932,             0.59257,              0.3551,            0.021527,           0.0073587,            0.011543,           0.0041837,           0.0041837,           0.0041837
                  49,             0.02085,           0.0097204,           0.0024918,             0.61006,             0.56761,             0.57491,               0.357,            0.021942,           0.0077985,            0.010657,             0.00406,             0.00406,             0.00406
                  50,            0.019461,           0.0090973,           0.0020612,             0.60953,             0.56974,              0.5896,             0.36567,            0.021207,           0.0078921,            0.012764,           0.0039362,           0.0039362,           0.0039362
                  51,            0.020046,           0.0090273,           0.0020746,             0.58719,             0.56621,             0.60709,             0.37714,            0.021793,           0.0071413,            0.011592,           0.0038125,           0.0038125,           0.0038125
                  52,            0.020421,           0.0088766,           0.0016812,             0.60418,             0.58138,             0.59039,             0.37124,            0.021072,           0.0074748,           0.0095993,           0.0036888,           0.0036888,           0.0036888
                  53,            0.019926,            0.008977,           0.0016425,             0.57237,             0.54633,             0.57964,             0.35409,            0.021526,            0.007733,            0.012852,            0.003565,            0.003565,            0.003565
                  54,            0.019062,           0.0087376,           0.0015132,             0.55447,             0.66119,             0.60684,             0.37347,            0.021448,           0.0070456,            0.012388,           0.0034413,           0.0034413,           0.0034413
                  55,            0.018582,           0.0085036,           0.0017322,             0.54737,             0.61391,             0.57733,             0.35563,            0.021542,           0.0075589,            0.011812,           0.0033175,           0.0033175,           0.0033175
                  56,            0.018993,           0.0086928,           0.0014342,             0.57075,             0.56679,             0.56808,             0.34537,             0.02195,           0.0079678,            0.013565,           0.0031938,           0.0031938,           0.0031938
                  57,             0.01946,           0.0089833,           0.0019954,             0.57641,             0.60812,             0.58707,             0.35994,             0.02168,           0.0077434,            0.013563,             0.00307,             0.00307,             0.00307
                  58,             0.01894,           0.0088616,           0.0015266,             0.63751,             0.58105,             0.59811,             0.37262,            0.021455,           0.0073124,            0.012578,           0.0029462,           0.0029462,           0.0029462
                  59,            0.018356,           0.0085924,           0.0013395,             0.57503,             0.60709,             0.58041,             0.36496,            0.021616,           0.0076234,            0.013072,           0.0028225,           0.0028225,           0.0028225
                  60,            0.017414,           0.0079782,           0.0017582,             0.56867,             0.60173,             0.59469,             0.37262,            0.021751,           0.0077144,            0.012774,           0.0026987,           0.0026987,           0.0026987
                  61,            0.017611,           0.0085427,           0.0015912,              0.5643,             0.55723,             0.58265,             0.37788,            0.021848,           0.0077781,            0.013658,            0.002575,            0.002575,            0.002575
                  62,            0.016948,           0.0080643,           0.0013545,             0.60165,             0.59974,             0.62807,             0.40447,            0.021219,           0.0075609,            0.013541,           0.0024513,           0.0024513,           0.0024513
                  63,            0.017305,           0.0083283,           0.0012029,             0.65677,             0.56387,              0.6315,             0.40745,            0.020712,           0.0071811,            0.013713,           0.0023275,           0.0023275,           0.0023275
                  64,            0.016271,           0.0078612,           0.0016724,             0.65289,             0.60393,             0.59715,             0.38628,            0.020732,           0.0078803,            0.013213,           0.0022038,           0.0022038,           0.0022038
                  65,            0.016764,           0.0080585,           0.0010252,             0.58746,             0.59888,              0.6004,             0.39632,            0.020628,           0.0078113,            0.013132,             0.00208,             0.00208,             0.00208
                  66,            0.016835,           0.0079028,           0.0011372,               0.636,             0.58348,               0.604,             0.38234,            0.021706,           0.0078667,            0.014236,           0.0019563,           0.0019563,           0.0019563
                  67,            0.016888,           0.0079731,           0.0021071,             0.64903,             0.53686,             0.61299,             0.39566,            0.021286,           0.0075254,            0.012704,           0.0018325,           0.0018325,           0.0018325
                  68,            0.015955,           0.0078975,           0.0011461,             0.66936,              0.5261,             0.60144,              0.3828,            0.021796,           0.0082665,             0.01341,           0.0017087,           0.0017087,           0.0017087
                  69,             0.01636,           0.0078885,           0.0015075,             0.61611,             0.55151,             0.58417,             0.38243,            0.021742,           0.0076319,            0.015514,            0.001585,            0.001585,            0.001585
                  70,            0.016304,           0.0076087,           0.0011346,             0.65948,             0.57011,             0.61117,             0.39776,             0.02146,           0.0082295,             0.01299,           0.0014612,           0.0014612,           0.0014612
                  71,            0.015974,           0.0077935,           0.0013461,             0.61822,             0.58263,             0.59937,             0.39626,             0.02174,           0.0083645,            0.012645,           0.0013375,           0.0013375,           0.0013375
                  72,             0.01595,           0.0076051,           0.0013218,              0.6254,             0.53312,             0.58024,             0.38417,            0.021515,           0.0082009,            0.014056,           0.0012138,           0.0012138,           0.0012138
                  73,            0.014881,           0.0075667,          0.00070596,             0.60859,             0.54717,             0.58472,              0.3842,            0.021216,           0.0079087,            0.015036,             0.00109,             0.00109,             0.00109
                  74,            0.015051,           0.0073821,           0.0011373,             0.64651,             0.54423,              0.6008,             0.38922,            0.020635,           0.0080175,            0.015685,          0.00096625,          0.00096625,          0.00096625
                  75,            0.014859,           0.0075399,           0.0014504,             0.57429,             0.53799,             0.56997,             0.36996,            0.020818,           0.0082437,            0.015618,           0.0008425,           0.0008425,           0.0008425
                  76,            0.015052,           0.0072606,           0.0015359,             0.58861,             0.51836,             0.56706,             0.36562,            0.020661,           0.0082867,            0.015725,          0.00071875,          0.00071875,          0.00071875
                  77,            0.014852,           0.0075853,           0.0012305,             0.59431,             0.53007,             0.57822,             0.37229,            0.020695,           0.0083244,            0.015056,            0.000595,            0.000595,            0.000595
                  78,            0.014419,           0.0074318,          0.00098103,               0.597,             0.51811,             0.57406,             0.37188,            0.020649,           0.0085394,            0.015366,          0.00047125,          0.00047125,          0.00047125
                  79,              0.0136,           0.0070113,           0.0011055,             0.58723,             0.52561,             0.58621,             0.38086,            0.020298,            0.008348,             0.01512,           0.0003475,           0.0003475,           0.0003475
